支付宝交易记录明细查询
账号:[16628542602]
起始日期:[2020-10-19 00:00:00]    终止日期:[2021-01-19 22:34:01]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021011922001491671419601267	,9412660000482200017895208761190733	,2021-01-19 19:10:21 ,2021-01-19 19:10:26 ,2021-01-19 19:10:26 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,老山西面馆上海高宝路店     ,老山西面馆上海高宝路店         ,17.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011922001491671419000208	,1920180330024764010461368603485871167601067	,2021-01-19 12:15:27 ,2021-01-19 12:15:28 ,2021-01-19 12:15:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,满香客大食堂          ,满香客大食堂              ,22.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011022001491671411914236_2021011945762802	,13944979683-715165388	,2021-01-19 12:14:01 ,                    ,2021-01-19 12:14:01 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海蒜芽信息科技有限公司    ,退款-智慧出行-2021-02-08 上海-黄石,335.50  ,        ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021011922001491671419332921	,16110211464122779691675	,2021-01-19 09:52:25 ,2021-01-19 09:52:33 ,2021-01-19 09:52:32 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小燕子             ,商品                  ,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011822001491671418132103	,16109671335122779691675	,2021-01-18 18:52:12 ,2021-01-18 18:52:17 ,2021-01-18 18:52:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,妮妮家超市           ,商品                  ,20.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011822001491671417838107	,7112660000482200017895208778081764	,2021-01-18 18:50:22 ,2021-01-18 18:50:28 ,2021-01-18 18:50:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,老山西面馆上海高宝路店     ,老山西面馆上海高宝路店         ,17.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011822001491671418535329	,20210118180022631071042466709370	,2021-01-18 18:00:29 ,2021-01-18 18:00:29 ,2021-01-18 18:00:29 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海都畅数字技术有限公司    ,上海申通地铁余额充值10.00元    ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011822001491671418150877	,16109350667122779691675	,2021-01-18 09:57:45 ,2021-01-18 09:57:51 ,2021-01-18 09:57:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小燕子             ,商品                  ,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011722001491671417530735	,21011710100000000003746608670076	,2021-01-17 20:39:20 ,2021-01-17 20:39:20 ,2021-01-17 20:39:20 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团              ,美团订单-21011710100000000003746608670076,12.99   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021011722001491671417611880	,21011710100000000003746277859076	,2021-01-17 20:37:26 ,2021-01-17 20:37:27 ,2021-01-17 20:37:27 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团              ,美团订单-21011710100000000003746277859076,14.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
